langcode,type,status,uid,title,created,changed,default_langcode,metatag,path,rh_action,rh_redirect,rh_redirect_response,rh_redirect_fallback_action,publish_on,unpublish_on,menu_link,body,field_faq_category,field_question
"en","faq_question","1","16","How does an air conditioner work?","1568662203","1574447755","1","","en","","","","","","","","Most central air conditioning systems are made up of two parts or what is called a split system. The outdoor unit contains a condenser coil, compressor, fan and electrical components. The indoor portion sits on top of the natural gas or propane furnace and is called the evaporator coil or “A” coil. The purpose of an air conditioner is to remove the heat and humidity from the home’s air to make it cooler.


	A central air conditioning system will start up when the attached thermostat senses that the temperature has increased above a preset level.
	The liquid refrigerant inside the evaporator coil converts to gas and as the warm humid indoor air passes over it, it absorbs the heat and removes the humidity which cools the air.
	The furnace’s blower fan then circulates the chilled air up through the home’s ductwork and out into the various living areas.
	Meanwhile, the refrigerant gas travels outside the house through a copper pipe (line set) to the compressor. The compressor pressurizes the gas and moves the refrigerant through the condenser coil. As the condenser fan pulls cool air through the condenser coil it changes the refrigerant back to liquid form thus continuing the refrigeration cycle.
	The humidity that was pulled from the air turns into condensation which is removed from the evaporator coil via the condensate drain line.
	The heated air in the home circulates through the cold air returns and back into the system to be cooled down and dehumidified again.

","126","How does an Air Conditioner work?
"
"en","faq_question","1","16","Do I need to change my furnace filter in the summer?","1568662596","1568662642","1","","en","","","","","","","","Yes, if you have a central air conditioner. The air conditioner works with the furnace fan to transfer cool air throughout the home. We recommend that you change or clean your furnace filter every one-to-three months.
","126","Do I need to change my furnace filter in the summer?"
"en","faq_question","1","16","What size air conditioner do I need?","1568662708","1623944542","1","","en","","","","","","","","Every home is unique and a number of factors impact the air conditioner size needed, including the size and age of your home, air flow, how many windows you have, insulation, and specific homeowner requirements. To make sure you get the air conditioner size that best suits your needs, it’s critical to have a professional visit your home to complete an evaluation to calculate heat gain and air flow. Incorrect sizing of an air conditioner may cause a shortened life of the equipment, higher utility costs and diminished comfort because the home isn’t cooling down or dehumidifying correctly.
","321","What size air conditioner do I need?
"
"en","faq_question","1","16","What is the lifespan of an air conditioner?","1568662760","1568662798","1","","en","","","","","","","","Your air conditioner’s age is a key indicator when deciding on an AC replacement. The average lifecycle of equipment is 15 years. But age is not the only factor to consider. Other reasons you may need to replace your air conditioner include safety, frequency of breakdowns, installation quality, and improper sizing.","126","What is the lifespan of an air conditioner?"
"en","faq_question","1","16","What does an air conditioner cost?","1568662809","1623944476","1","","en","","","","","","","","The average price range of a typical new high-efficiency central air conditioner in Ontario ranges from $3,500 to $6,000. This price includes standard installation from a fully-insured, licensed company, at least a one year warranty and all required licenses for installation.

The cost of an air conditioner is dependent on four factors:


	Environmental choices, including energy efficiency, sound output, air filtration sizes (which depend on allergies or other sensitivities), and comfort-enhancing options.
	Personal choices including extended warranties, maintenance plans and guarantees.
	Technical requirements, including the size of your home, floor plan, number of stories, existing ductwork and BTU load.
	Code requirements including safety, licensing and building code requirements.

","321","What does an air conditioner cost?
"
"en","faq_question","1","16","How does a furnace work?","1568662883","1574448163","1","","en","","","","","","","","
	A natural gas or propane high-efficiency furnace will start up when an attached thermostat senses that the temperature has dropped below a preset level.
	Before the furnace starts, the ventor motor does a safety check to ensure that the venting is clear, as determined by the pressure switch. The ignitor then ignites the burners inside the furnace combustion chamber and starts creating heat. The heat is transferred to the primary or &quot;first&quot; heat exchanger which heats the air as it flows through the furnace. Afterwards, the combustion gases are passed through a secondary heat exchanger to further extract heat.
	The blower motor pushes the warmed air through the plenum and out into the house via the registers.
	The combustion gases, including carbon monoxide, are safely vented to the outdoors from the furnace.
	In most cases, outside fresh air is pulled into the burn chamber to provide a more efficient burn. However, this practice isn’t done in old homes.
	Any cold air left in the home gets circulated into the furnace to be heated up.

","131","How does a furnace work?
"
"en","faq_question","1","16","Is a humidifier necessary?","1568663027","1568663111","1","","en","","","","","","","","If the humidity in your home is lower than 30 percent on a hygrometer it is recommended that you consider a humidifier. Health Canada recommends a home’s relative humidity should be between 30 to 55 percent in the winter. Most homes require a humidifier in Canada due to the dry air created by our cold climate.","131","Is a humidifier necessary?"
"en","faq_question","1","16","How often should I change my furnace filter?","1568663123","1568663146","1","","en","","","","","","","","We recommend that you change or clean your furnace filter every one-to-three months.","131","How often should I change my furnace filter?"
"en","faq_question","1","16","What are Enercare’s guarantees on new equipment?","1568663152","1571355214","1","","en","","","","","","","","We have five guarantees - Home Comfort Guarantee, No Surprises Guarantee, No Lemon Guarantee, Environmental Focus Guarantee and Property Protection and Client Respect Guarantee.&amp;nbsp;
","131","What are Enercare’s guarantees on new equipment?
"
"en","faq_question","1","16","What size furnace do I need?","1568663179","1568663200","1","","en","","","","","","","","Every home is unique and a number of factors impact the furnace size needed, including the size and age of your home, air flow, how many windows your home has, insulation, and specific homeowner requirements.  To make sure you get the furnace size that best suits your needs, it’s crucial to have a professional visit your home to complete an evaluation to calculate heat loss and air flow. Incorrect sizing of a furnace may cause a shortened life of the equipment, higher utility costs and diminished comfort because your home is not warming up correctly.","131","What size furnace do I need?"
